program	rep	depth	noReads	percMutate	targMut	mutLen	refLen	refNs	refSnp	refIndel	conLen	Ns	snp	indel	elpTime	sysTime	UserTime	memKb	percCPU	seed	usedSeed	medakaModel	usedMedaka	usedMajcon	usedIvar	usedRacon	medakaPolish	ivarPolish	minLen	minDepth	fastq	schemeDir	scheme	schemeVer	prefix	conDef	conScaffoldBuilder	conStich
artic	10	30	2790	0	0	1700	1700	0	0	0	1700	74.7059	0	0	28.50	3.18	28.09	383632	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	0	0	1700	1700	0	0	0	1615	31.5789	0	3.1969	0.86	0.14	0.94	40832	126%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	0	0	1700	1700	0	0	0	1612	39.7022	0	0.6406	0.92	0.19	0.99	41048	127%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	100	17	1700	1700	0	10	0	1700	74.7059	0	0	27.15	3.10	26.77	384460	110%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	100	17	1700	1700	0	10	0	1614	31.5985	0	5.7582	0.89	0.15	1.02	41068	131%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	100	17	1700	1700	0	10	0	1613	39.6776	0	1.2804	0.97	0.18	1.09	40824	130%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	200	34	1700	1700	0	20	0	1700	74.7059	0	0	28.91	3.23	28.43	385208	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
buildCon	10	30	2790	200	34	1700	1700	0	20	0	1615	47.0588	0	3.1969	0.90	0.13	1.05	41068	132%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
buildCon	10	30	2790	200	34	1700	1700	0	20	0	1612	55.2109	0	0.6406	0.95	0.17	1.09	41104	133%	1024	10240	r941_prom_high_g344	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	320	10	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	FALSE	FALSE	TRUE
artic	10	30	2790	500	85	1700	1700	0	50	0	1700	74.7059	0	0	27.66	3.37	27.04	384904	109%	1024	10240	r941_prom_high_g344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	05-amplicon-reads	06-alt-schemes/06-schemes/	SARS-CoV-2	4.1.1500	11-quast-bench/11-quast-bench	TRUE	FALSE	FALSE
